,train,val,test
0,normal_001,test_125,normal_027
1,normal_002,test_056,test_087
2,normal_003,normal_090,normal_138
3,normal_004,normal_097,normal_055
4,normal_008,test_089,test_119
5,normal_009,normal_005,normal_034
6,normal_010,normal_095,normal_061
7,normal_011,normal_028,test_036
8,normal_012,test_019,normal_017
9,normal_013,test_128,normal_006
10,normal_014,test_123,normal_022
11,normal_015,normal_125,normal_107
12,normal_016,test_025,normal_151
13,normal_018,normal_035,test_070
14,normal_019,test_081,test_050
15,normal_020,test_091,normal_038
16,normal_021,normal_112,normal_052
17,normal_023,normal_070,test_044
18,normal_024,test_098,test_126
19,normal_025,normal_109,test_063
20,normal_026,normal_116,test_086
21,normal_029,normal_119,normal_007
22,normal_030,normal_045,test_085
23,normal_031,normal_101,normal_123
24,normal_032,tumor_001,tumor_004
25,normal_033,tumor_075,tumor_042
26,normal_036,tumor_056,tumor_012
27,normal_037,test_069,test_026
28,normal_039,tumor_103,tumor_032
29,normal_040,tumor_025,tumor_026
30,normal_041,tumor_089,tumor_095
31,normal_042,test_061,tumor_068
32,normal_043,test_071,test_052
33,normal_044,tumor_071,tumor_009
34,normal_046,test_038,tumor_033
35,normal_047,test_001,tumor_040
36,normal_048,test_094,test_030
37,normal_049,test_066,tumor_015
38,normal_050,tumor_020,test_046
39,normal_051,tumor_017,test_033
40,normal_053,,
41,normal_054,,
42,normal_056,,
43,normal_057,,
44,normal_058,,
45,normal_059,,
46,normal_060,,
47,normal_062,,
48,normal_063,,
49,normal_064,,
50,normal_065,,
51,normal_066,,
52,normal_067,,
53,normal_068,,
54,normal_069,,
55,normal_071,,
56,normal_072,,
57,normal_073,,
58,normal_074,,
59,normal_075,,
60,normal_076,,
61,normal_077,,
62,normal_078,,
63,normal_079,,
64,normal_080,,
65,normal_081,,
66,normal_082,,
67,normal_083,,
68,normal_084,,
69,normal_085,,
70,normal_087,,
71,normal_088,,
72,normal_089,,
73,normal_091,,
74,normal_092,,
75,normal_093,,
76,normal_094,,
77,normal_096,,
78,normal_098,,
79,normal_099,,
80,normal_100,,
81,normal_102,,
82,normal_103,,
83,normal_104,,
84,normal_105,,
85,normal_106,,
86,normal_108,,
87,normal_110,,
88,normal_111,,
89,normal_113,,
90,normal_114,,
91,normal_115,,
92,normal_117,,
93,normal_118,,
94,normal_120,,
95,normal_121,,
96,normal_122,,
97,normal_124,,
98,normal_126,,
99,normal_127,,
100,normal_128,,
101,normal_129,,
102,normal_130,,
103,normal_131,,
104,normal_132,,
105,normal_133,,
106,normal_134,,
107,normal_135,,
108,normal_136,,
109,normal_137,,
110,normal_139,,
111,normal_140,,
112,normal_141,,
113,normal_142,,
114,normal_143,,
115,normal_144,,
116,normal_145,,
117,normal_146,,
118,normal_147,,
119,normal_148,,
120,normal_149,,
121,normal_150,,
122,normal_152,,
123,normal_153,,
124,normal_154,,
125,normal_155,,
126,normal_156,,
127,normal_157,,
128,normal_158,,
129,normal_159,,
130,normal_160,,
131,test_003,,
132,test_005,,
133,test_006,,
134,test_007,,
135,test_009,,
136,test_012,,
137,test_014,,
138,test_015,,
139,test_017,,
140,test_018,,
141,test_020,,
142,test_022,,
143,test_023,,
144,test_024,,
145,test_028,,
146,test_031,,
147,test_032,,
148,test_034,,
149,test_035,,
150,test_037,,
151,test_039,,
152,test_041,,
153,test_042,,
154,test_043,,
155,test_045,,
156,test_047,,
157,test_053,,
158,test_054,,
159,test_055,,
160,test_057,,
161,test_058,,
162,test_059,,
163,test_060,,
164,test_062,,
165,test_067,,
166,test_072,,
167,test_076,,
168,test_077,,
169,test_078,,
170,test_080,,
171,test_083,,
172,test_088,,
173,test_093,,
174,test_095,,
175,test_096,,
176,test_100,,
177,test_101,,
178,test_103,,
179,test_106,,
180,test_107,,
181,test_109,,
182,test_111,,
183,test_112,,
184,test_115,,
185,test_118,,
186,test_120,,
187,test_124,,
188,test_127,,
189,test_129,,
190,test_130,,
191,test_002,,
192,test_004,,
193,test_008,,
194,test_010,,
195,test_011,,
196,test_013,,
197,test_016,,
198,test_021,,
199,test_027,,
200,test_029,,
201,test_040,,
202,test_048,,
203,test_051,,
204,test_064,,
205,test_065,,
206,test_068,,
207,test_073,,
208,test_074,,
209,test_075,,
210,test_079,,
211,test_082,,
212,test_084,,
213,test_090,,
214,test_092,,
215,test_097,,
216,test_099,,
217,test_102,,
218,test_104,,
219,test_105,,
220,test_108,,
221,test_110,,
222,test_113,,
223,test_114,,
224,test_116,,
225,test_117,,
226,test_121,,
227,test_122,,
228,tumor_002,,
229,tumor_003,,
230,tumor_005,,
231,tumor_006,,
232,tumor_007,,
233,tumor_008,,
234,tumor_010,,
235,tumor_011,,
236,tumor_013,,
237,tumor_014,,
238,tumor_016,,
239,tumor_018,,
240,tumor_019,,
241,tumor_021,,
242,tumor_022,,
243,tumor_023,,
244,tumor_024,,
245,tumor_027,,
246,tumor_028,,
247,tumor_029,,
248,tumor_030,,
249,tumor_031,,
250,tumor_034,,
251,tumor_035,,
252,tumor_036,,
253,tumor_037,,
254,tumor_038,,
255,tumor_039,,
256,tumor_041,,
257,tumor_043,,
258,tumor_044,,
259,tumor_045,,
260,tumor_046,,
261,tumor_047,,
262,tumor_048,,
263,tumor_049,,
264,tumor_050,,
265,tumor_051,,
266,tumor_052,,
267,tumor_053,,
268,tumor_054,,
269,tumor_055,,
270,tumor_057,,
271,tumor_058,,
272,tumor_059,,
273,tumor_060,,
274,tumor_061,,
275,tumor_062,,
276,tumor_063,,
277,tumor_064,,
278,tumor_065,,
279,tumor_066,,
280,tumor_067,,
281,tumor_069,,
282,tumor_070,,
283,tumor_072,,
284,tumor_073,,
285,tumor_074,,
286,tumor_076,,
287,tumor_077,,
288,tumor_078,,
289,tumor_079,,
290,tumor_080,,
291,tumor_081,,
292,tumor_082,,
293,tumor_083,,
294,tumor_084,,
295,tumor_085,,
296,tumor_086,,
297,tumor_087,,
298,tumor_088,,
299,tumor_090,,
300,tumor_091,,
301,tumor_092,,
302,tumor_093,,
303,tumor_094,,
304,tumor_096,,
305,tumor_097,,
306,tumor_098,,
307,tumor_099,,
308,tumor_100,,
309,tumor_101,,
310,tumor_102,,
311,tumor_104,,
312,tumor_105,,
313,tumor_106,,
314,tumor_107,,
315,tumor_108,,
316,tumor_109,,
317,tumor_110,,
318,tumor_111,,
