,train,val,test
0,normal_001,normal_059,test_044
1,normal_002,normal_143,test_088
2,normal_004,test_050,test_111
3,normal_005,normal_076,test_042
4,normal_006,normal_040,normal_077
5,normal_007,normal_048,test_031
6,normal_008,normal_134,test_055
7,normal_009,normal_112,normal_030
8,normal_010,normal_065,normal_126
9,normal_012,normal_138,normal_142
10,normal_013,normal_091,test_124
11,normal_014,test_025,test_083
12,normal_015,normal_079,normal_116
13,normal_016,normal_148,test_103
14,normal_017,normal_146,normal_025
15,normal_018,test_063,normal_128
16,normal_019,normal_058,normal_145
17,normal_020,normal_003,normal_011
18,normal_021,test_091,normal_156
19,normal_022,normal_125,normal_044
20,normal_023,normal_045,normal_106
21,normal_024,normal_140,normal_070
22,normal_026,test_067,test_022
23,normal_027,test_058,normal_063
24,normal_028,tumor_037,tumor_029
25,normal_029,test_008,tumor_051
26,normal_031,tumor_098,tumor_006
27,normal_032,tumor_060,tumor_019
28,normal_033,tumor_026,tumor_074
29,normal_034,tumor_078,test_114
30,normal_035,tumor_049,test_121
31,normal_036,tumor_021,tumor_067
32,normal_037,tumor_041,test_094
33,normal_038,test_052,tumor_082
34,normal_039,test_027,test_092
35,normal_041,tumor_109,test_079
36,normal_042,test_071,tumor_025
37,normal_043,tumor_003,test_002
38,normal_046,tumor_070,tumor_004
39,normal_047,tumor_057,tumor_013
40,normal_049,,
41,normal_050,,
42,normal_051,,
43,normal_052,,
44,normal_053,,
45,normal_054,,
46,normal_055,,
47,normal_056,,
48,normal_057,,
49,normal_060,,
50,normal_061,,
51,normal_062,,
52,normal_064,,
53,normal_066,,
54,normal_067,,
55,normal_068,,
56,normal_069,,
57,normal_071,,
58,normal_072,,
59,normal_073,,
60,normal_074,,
61,normal_075,,
62,normal_078,,
63,normal_080,,
64,normal_081,,
65,normal_082,,
66,normal_083,,
67,normal_084,,
68,normal_085,,
69,normal_087,,
70,normal_088,,
71,normal_089,,
72,normal_090,,
73,normal_092,,
74,normal_093,,
75,normal_094,,
76,normal_095,,
77,normal_096,,
78,normal_097,,
79,normal_098,,
80,normal_099,,
81,normal_100,,
82,normal_101,,
83,normal_102,,
84,normal_103,,
85,normal_104,,
86,normal_105,,
87,normal_107,,
88,normal_108,,
89,normal_109,,
90,normal_110,,
91,normal_111,,
92,normal_113,,
93,normal_114,,
94,normal_115,,
95,normal_117,,
96,normal_118,,
97,normal_119,,
98,normal_120,,
99,normal_121,,
100,normal_122,,
101,normal_123,,
102,normal_124,,
103,normal_127,,
104,normal_129,,
105,normal_130,,
106,normal_131,,
107,normal_132,,
108,normal_133,,
109,normal_135,,
110,normal_136,,
111,normal_137,,
112,normal_139,,
113,normal_141,,
114,normal_144,,
115,normal_147,,
116,normal_149,,
117,normal_150,,
118,normal_151,,
119,normal_152,,
120,normal_153,,
121,normal_154,,
122,normal_155,,
123,normal_157,,
124,normal_158,,
125,normal_159,,
126,normal_160,,
127,test_003,,
128,test_005,,
129,test_006,,
130,test_007,,
131,test_009,,
132,test_012,,
133,test_014,,
134,test_015,,
135,test_017,,
136,test_018,,
137,test_019,,
138,test_020,,
139,test_023,,
140,test_024,,
141,test_028,,
142,test_032,,
143,test_034,,
144,test_035,,
145,test_036,,
146,test_037,,
147,test_039,,
148,test_041,,
149,test_043,,
150,test_045,,
151,test_047,,
152,test_053,,
153,test_054,,
154,test_056,,
155,test_057,,
156,test_059,,
157,test_060,,
158,test_062,,
159,test_070,,
160,test_072,,
161,test_076,,
162,test_077,,
163,test_078,,
164,test_080,,
165,test_081,,
166,test_085,,
167,test_086,,
168,test_087,,
169,test_089,,
170,test_093,,
171,test_095,,
172,test_096,,
173,test_098,,
174,test_100,,
175,test_101,,
176,test_106,,
