,train,val,test
0,normal_001,test_083,normal_057
1,normal_002,normal_085,normal_017
2,normal_003,normal_108,normal_149
3,normal_004,test_080,normal_152
4,normal_006,test_036,normal_112
5,normal_007,normal_150,normal_160
6,normal_008,test_054,normal_024
7,normal_009,normal_143,normal_042
8,normal_010,normal_137,normal_135
9,normal_011,normal_123,test_120
10,normal_012,test_060,normal_072
11,normal_013,normal_049,normal_031
12,normal_014,test_050,test_034
13,normal_015,normal_090,normal_144
14,normal_016,test_115,test_095
15,normal_018,normal_155,normal_156
16,normal_019,normal_117,test_014
17,normal_020,normal_041,normal_153
18,normal_021,test_096,test_081
19,normal_022,normal_113,test_067
20,normal_023,test_127,normal_046
21,normal_025,test_072,normal_005
22,normal_026,test_009,normal_069
23,normal_027,normal_102,normal_082
24,normal_028,tumor_008,test_033
25,normal_029,test_048,test_051
26,normal_030,tumor_039,tumor_055
27,normal_032,tumor_083,tumor_104
28,normal_033,tumor_007,tumor_093
29,normal_034,tumor_070,tumor_100
30,normal_035,tumor_065,tumor_090
31,normal_036,tumor_012,tumor_111
32,normal_037,tumor_027,tumor_062
33,normal_038,tumor_064,test_075
34,normal_039,test_066,test_113
35,normal_040,tumor_108,test_008
36,normal_043,tumor_041,tumor_021
37,normal_044,tumor_011,test_108
38,normal_045,test_079,test_114
39,normal_047,tumor_010,test_117
40,normal_048,,
41,normal_050,,
42,normal_051,,
43,normal_052,,
44,normal_053,,
45,normal_054,,
46,normal_055,,
47,normal_056,,
48,normal_058,,
49,normal_059,,
50,normal_060,,
51,normal_061,,
52,normal_062,,
53,normal_063,,
54,normal_064,,
55,normal_065,,
56,normal_066,,
57,normal_067,,
58,normal_068,,
59,normal_070,,
60,normal_071,,
61,normal_073,,
62,normal_074,,
63,normal_075,,
64,normal_076,,
65,normal_077,,
66,normal_078,,
67,normal_079,,
68,normal_080,,
69,normal_081,,
70,normal_083,,
71,normal_084,,
72,normal_087,,
73,normal_088,,
74,normal_089,,
75,normal_091,,
76,normal_092,,
77,normal_093,,
78,normal_094,,
79,normal_095,,
80,normal_096,,
81,normal_097,,
82,normal_098,,
83,normal_099,,
84,normal_100,,
85,normal_101,,
86,normal_103,,
87,normal_104,,
88,normal_105,,
89,normal_106,,
90,normal_107,,
91,normal_109,,
92,normal_110,,
93,normal_111,,
94,normal_114,,
95,normal_115,,
96,normal_116,,
97,normal_118,,
98,normal_119,,
99,normal_120,,
100,normal_121,,
101,normal_122,,
102,normal_124,,
103,normal_125,,
104,normal_126,,
105,normal_127,,
106,normal_128,,
107,normal_129,,
108,normal_130,,
109,normal_131,,
110,normal_132,,
111,normal_133,,
112,normal_134,,
113,normal_136,,
114,normal_138,,
115,normal_139,,
116,normal_140,,
117,normal_141,,
118,normal_142,,
119,normal_145,,
120,normal_146,,
121,normal_147,,
122,normal_148,,
123,normal_151,,
124,normal_154,,
125,normal_157,,
126,normal_158,,
127,normal_159,,
128,test_003,,
129,test_005,,
130,test_006,,
131,test_007,,
132,test_012,,
133,test_015,,
134,test_017,,
135,test_018,,
136,test_019,,
137,test_020,,
138,test_022,,
139,test_023,,
140,test_024,,
141,test_025,,
142,test_028,,
143,test_031,,
144,test_032,,
145,test_035,,
146,test_037,,
147,test_039,,
148,test_041,,
149,test_042,,
150,test_043,,
151,test_044,,
152,test_045,,
153,test_047,,
154,test_053,,
155,test_055,,
156,test_056,,
157,test_057,,
158,test_058,,
159,test_059,,
160,test_062,,
161,test_063,,
162,test_070,,
163,test_076,,
164,test_077,,
165,test_078,,
166,test_085,,
167,test_086,,
168,test_087,,
169,test_088,,
170,test_089,,
171,test_091,,
172,test_093,,
173,test_098,,
174,test_100,,
175,test_101,,
176,test_103,,
177,test_106,,
178,test_107,,
179,test_109,,
180,test_111,,
181,test_112,,
182,test_118,,
183,test_119,,
184,test_123,,
185,test_124,,
186,test_125,,
187,test_126,,
188,test_128,,
189,test_129,,
190,test_130,,
191,test_001,,
192,test_002,,
193,test_004,,
194,test_010,,
195,test_011,,
196,test_013,,
197,test_016,,
198,test_021,,
199,test_026,,
200,test_027,,
201,test_029,,
202,test_030,,
203,test_038,,
204,test_040,,
205,test_046,,
206,test_052,,
207,test_061,,
208,test_064,,
209,test_065,,
210,test_068,,
211,test_069,,
212,test_071,,
213,test_073,,
214,test_074,,
215,test_082,,
216,test_084,,
217,test_090,,
218,test_092,,
219,test_094,,
220,test_097,,
221,test_099,,
222,test_102,,
223,test_104,,
224,test_105,,
225,test_110,,
226,test_116,,
227,test_121,,
228,test_122,,
229,tumor_001,,
230,tumor_002,,
231,tumor_003,,
232,tumor_004,,
233,tumor_005,,
234,tumor_006,,
235,tumor_009,,
236,tumor_013,,
237,tumor_014,,
238,tumor_015,,
239,tumor_016,,
240,tumor_017,,
241,tumor_018,,
242,tumor_019,,
243,tumor_020,,
244,tumor_022,,
245,tumor_023,,
246,tumor_024,,
247,tumor_025,,
248,tumor_026,,
249,tumor_028,,
250,tumor_029,,
251,tumor_030,,
252,tumor_031,,
253,tumor_032,,
254,tumor_033,,
255,tumor_034,,
256,tumor_035,,
257,tumor_036,,
258,tumor_037,,
259,tumor_038,,
260,tumor_040,,
261,tumor_042,,
262,tumor_043,,
263,tumor_044,,
264,tumor_045,,
265,tumor_046,,
266,tumor_047,,
267,tumor_048,,
268,tumor_049,,
269,tumor_050,,
270,tumor_051,,
271,tumor_052,,
272,tumor_053,,
273,tumor_054,,
274,tumor_056,,
275,tumor_057,,
276,tumor_058,,
277,tumor_059,,
278,tumor_060,,
279,tumor_061,,
280,tumor_063,,
281,tumor_066,,
282,tumor_067,,
283,tumor_068,,
284,tumor_069,,
285,tumor_071,,
286,tumor_072,,
287,tumor_073,,
288,tumor_074,,
289,tumor_075,,
290,tumor_076,,
291,tumor_077,,
292,tumor_078,,
293,tumor_079,,
294,tumor_080,,
295,tumor_081,,
296,tumor_082,,
297,tumor_084,,
298,tumor_085,,
299,tumor_086,,
300,tumor_087,,
301,tumor_088,,
302,tumor_089,,
303,tumor_091,,
304,tumor_092,,
305,tumor_094,,
306,tumor_095,,
307,tumor_096,,
308,tumor_097,,
309,tumor_098,,
310,tumor_099,,
311,tumor_101,,
312,tumor_102,,
313,tumor_103,,
314,tumor_105,,
315,tumor_106,,
316,tumor_107,,
317,tumor_109,,
318,tumor_110,,
