,train,val,test
0,normal_002,normal_001,normal_066
1,normal_003,normal_102,normal_112
2,normal_004,test_083,normal_130
3,normal_005,normal_010,normal_051
4,normal_006,normal_121,test_123
5,normal_007,normal_049,normal_017
6,normal_009,normal_091,normal_124
7,normal_011,normal_132,normal_071
8,normal_012,normal_079,test_015
9,normal_013,normal_055,normal_153
10,normal_015,normal_157,normal_083
11,normal_018,normal_151,normal_014
12,normal_019,normal_118,normal_103
13,normal_020,normal_138,normal_008
14,normal_021,test_007,normal_061
15,normal_022,test_045,normal_040
16,normal_023,test_115,normal_088
17,normal_024,normal_111,normal_042
18,normal_025,normal_156,normal_016
19,normal_026,normal_154,normal_080
20,normal_027,normal_135,test_125
21,normal_028,normal_078,test_009
22,normal_029,normal_031,normal_035
23,normal_030,test_080,normal_147
24,normal_032,test_068,test_069
25,normal_033,test_073,test_104
26,normal_034,tumor_010,tumor_047
27,normal_036,tumor_091,tumor_064
28,normal_037,tumor_020,tumor_028
29,normal_038,test_074,tumor_100
30,normal_039,test_105,tumor_053
31,normal_041,test_051,test_099
32,normal_043,test_114,tumor_067
33,normal_044,tumor_071,tumor_018
34,normal_045,tumor_055,tumor_021
35,normal_046,tumor_037,tumor_081
36,normal_047,tumor_038,tumor_004
37,normal_048,tumor_066,tumor_051
38,normal_050,tumor_075,tumor_025
39,normal_052,tumor_058,tumor_080
40,normal_053,,
41,normal_054,,
42,normal_056,,
43,normal_057,,
44,normal_058,,
45,normal_059,,
46,normal_060,,
47,normal_062,,
48,normal_063,,
49,normal_064,,
50,normal_065,,
51,normal_067,,
52,normal_068,,
53,normal_069,,
54,normal_070,,
55,normal_072,,
56,normal_073,,
57,normal_074,,
58,normal_075,,
59,normal_076,,
60,normal_077,,
61,normal_081,,
62,normal_082,,
63,normal_084,,
64,normal_085,,
65,normal_087,,
66,normal_089,,
67,normal_090,,
68,normal_092,,
69,normal_093,,
70,normal_094,,
71,normal_095,,
72,normal_096,,
73,normal_097,,
74,normal_098,,
75,normal_099,,
76,normal_100,,
77,normal_101,,
78,normal_104,,
79,normal_105,,
80,normal_106,,
81,normal_107,,
82,normal_108,,
83,normal_109,,
84,normal_110,,
85,normal_113,,
86,normal_114,,
87,normal_115,,
88,normal_116,,
89,normal_117,,
90,normal_119,,
91,normal_120,,
92,normal_122,,
93,normal_123,,
94,normal_125,,
95,normal_126,,
96,normal_127,,
97,normal_128,,
98,normal_129,,
99,normal_131,,
100,normal_133,,
101,normal_134,,
102,normal_136,,
103,normal_137,,
104,normal_139,,
105,normal_140,,
106,normal_141,,
107,normal_142,,
108,normal_143,,
109,normal_144,,
110,normal_145,,
111,normal_146,,
112,normal_148,,
113,normal_149,,
114,normal_150,,
115,normal_152,,
116,normal_155,,
117,normal_158,,
118,normal_159,,
119,normal_160,,
120,test_003,,
121,test_005,,
122,test_006,,
123,test_012,,
124,test_014,,
125,test_017,,
126,test_018,,
127,test_019,,
128,test_020,,
129,test_022,,
130,test_023,,
131,test_024,,
132,test_025,,
133,test_028,,
134,test_031,,
135,test_032,,
136,test_034,,
137,test_035,,
138,test_036,,
139,test_037,,
140,test_039,,
141,test_041,,
142,test_042,,
143,test_043,,
144,test_044,,
145,test_047,,
146,test_050,,
147,test_053,,
148,test_054,,
149,test_055,,
150,test_056,,
151,test_057,,
152,test_058,,
153,test_059,,
154,test_060,,
155,test_062,,
156,test_063,,
157,test_067,,
158,test_070,,
159,test_072,,
160,test_076,,
161,test_077,,
162,test_078,,
163,test_081,,
164,test_085,,
165,test_086,,
166,test_087,,
167,test_088,,
168,test_089,,
169,test_091,,
170,test_093,,
171,test_095,,
172,test_096,,
173,test_098,,
174,test_100,,
175,test_101,,
176,test_103,,
177,test_106,,
178,test_107,,
179,test_109,,
180,test_111,,
181,test_112,,
182,test_118,,
183,test_119,,
184,test_120,,
185,test_124,,
186,test_126,,
187,test_127,,
188,test_128,,
189,test_129,,
190,test_130,,
191,test_001,,
192,test_002,,
193,test_004,,
194,test_008,,
195,test_010,,
196,test_011,,
197,test_013,,
198,test_016,,
199,test_021,,
200,test_026,,
201,test_027,,
202,test_029,,
203,test_030,,
204,test_033,,
205,test_038,,
206,test_040,,
207,test_046,,
208,test_048,,
209,test_052,,
210,test_061,,
211,test_064,,
212,test_065,,
213,test_066,,
214,test_071,,
215,test_075,,
216,test_079,,
217,test_082,,
218,test_084,,
219,test_090,,
220,test_092,,
221,test_094,,
222,test_097,,
223,test_102,,
224,test_108,,
225,test_110,,
226,test_113,,
227,test_116,,
228,test_117,,
229,test_121,,
230,test_122,,
231,tumor_001,,
232,tumor_002,,
233,tumor_003,,
234,tumor_005,,
235,tumor_006,,
236,tumor_007,,
237,tumor_008,,
238,tumor_009,,
239,tumor_011,,
240,tumor_012,,
241,tumor_013,,
242,tumor_014,,
243,tumor_015,,
244,tumor_016,,
245,tumor_017,,
246,tumor_019,,
247,tumor_022,,
248,tumor_023,,
249,tumor_024,,
250,tumor_026,,
251,tumor_027,,
252,tumor_029,,
253,tumor_030,,
254,tumor_031,,
255,tumor_032,,
256,tumor_033,,
257,tumor_034,,
258,tumor_035,,
259,tumor_036,,
260,tumor_039,,
261,tumor_040,,
262,tumor_041,,
263,tumor_042,,
264,tumor_043,,
265,tumor_044,,
266,tumor_045,,
267,tumor_046,,
268,tumor_048,,
269,tumor_049,,
270,tumor_050,,
271,tumor_052,,
272,tumor_054,,
273,tumor_056,,
274,tumor_057,,
275,tumor_059,,
276,tumor_060,,
277,tumor_061,,
278,tumor_062,,
279,tumor_063,,
280,tumor_065,,
281,tumor_068,,
282,tumor_069,,
283,tumor_070,,
