,train,val,test
0,normal_002,normal_069,normal_106
1,normal_003,normal_123,normal_098
2,normal_004,normal_101,normal_144
3,normal_005,normal_100,test_003
4,normal_006,normal_121,normal_001
5,normal_007,test_060,normal_110
6,normal_009,test_034,test_014
7,normal_010,test_019,test_083
8,normal_011,normal_091,test_087
9,normal_012,normal_118,test_115
10,normal_013,test_056,test_035
11,normal_015,normal_079,normal_054
12,normal_016,test_020,normal_111
13,normal_017,normal_158,normal_080
14,normal_018,test_088,normal_096
15,normal_019,test_106,normal_149
16,normal_020,test_054,test_024
17,normal_021,normal_084,normal_049
18,normal_022,test_118,normal_145
19,normal_023,normal_027,normal_039
20,normal_024,normal_008,test_055
21,normal_025,normal_033,test_086
22,normal_026,test_072,test_077
23,normal_028,normal_014,normal_046
24,normal_029,tumor_051,tumor_059
25,normal_030,tumor_055,test_121
26,normal_031,test_104,test_110
27,normal_032,test_075,tumor_105
28,normal_034,tumor_003,test_113
29,normal_035,tumor_029,test_105
30,normal_036,tumor_100,tumor_049
31,normal_037,tumor_104,tumor_062
32,normal_038,tumor_097,tumor_065
33,normal_040,tumor_009,tumor_074
34,normal_041,test_026,tumor_053
35,normal_042,tumor_067,tumor_103
36,normal_043,tumor_086,test_117
37,normal_044,tumor_092,tumor_014
38,normal_045,tumor_082,tumor_056
39,normal_047,test_048,tumor_078
40,normal_048,,
41,normal_050,,
42,normal_051,,
43,normal_052,,
44,normal_053,,
45,normal_055,,
46,normal_056,,
47,normal_057,,
48,normal_058,,
49,normal_059,,
50,normal_060,,
51,normal_061,,
52,normal_062,,
53,normal_063,,
54,normal_064,,
55,normal_065,,
56,normal_066,,
57,normal_067,,
58,normal_068,,
59,normal_070,,
60,normal_071,,
61,normal_072,,
62,normal_073,,
63,normal_074,,
64,normal_075,,
65,normal_076,,
66,normal_077,,
67,normal_078,,
68,normal_081,,
69,normal_082,,
70,normal_083,,
71,normal_085,,
72,normal_087,,
73,normal_088,,
74,normal_089,,
75,normal_090,,
76,normal_092,,
77,normal_093,,
78,normal_094,,
79,normal_095,,
80,normal_097,,
81,normal_099,,
82,normal_102,,
83,normal_103,,
84,normal_104,,
85,normal_105,,
86,normal_107,,
87,normal_108,,
88,normal_109,,
89,normal_112,,
90,normal_113,,
91,normal_114,,
92,normal_115,,
93,normal_116,,
94,normal_117,,
95,normal_119,,
96,normal_120,,
97,normal_122,,
98,normal_124,,
99,normal_125,,
100,normal_126,,
101,normal_127,,
102,normal_128,,
103,normal_129,,
104,normal_130,,
105,normal_131,,
106,normal_132,,
107,normal_133,,
108,normal_134,,
109,normal_135,,
110,normal_136,,
111,normal_137,,
112,normal_138,,
113,normal_139,,
114,normal_140,,
115,normal_141,,
116,normal_142,,
117,normal_143,,
118,normal_146,,
119,normal_147,,
120,normal_148,,
121,normal_150,,
122,normal_151,,
123,normal_152,,
124,normal_153,,
125,normal_154,,
126,normal_155,,
127,normal_156,,
128,normal_157,,
129,normal_159,,
130,normal_160,,
131,test_005,,
132,test_006,,
133,test_007,,
134,test_009,,
135,test_012,,
136,test_015,,
137,test_017,,
138,test_018,,
139,test_022,,
140,test_023,,
141,test_025,,
142,test_028,,
143,test_031,,
144,test_032,,
145,test_036,,
146,test_037,,
147,test_039,,
148,test_041,,
149,test_042,,
150,test_043,,
151,test_044,,
152,test_045,,
153,test_047,,
154,test_050,,
155,test_053,,
156,test_057,,
157,test_058,,
158,test_059,,
159,test_062,,
160,test_063,,
161,test_067,,
162,test_070,,
163,test_076,,
164,test_078,,
165,test_080,,
166,test_081,,
167,test_085,,
168,test_089,,
169,test_091,,
170,test_093,,
171,test_095,,
172,test_096,,
173,test_098,,
174,test_100,,
175,test_101,,
176,test_103,,
177,test_107,,
178,test_109,,
179,test_111,,
180,test_112,,
181,test_119,,
182,test_120,,
183,test_123,,
184,test_124,,
185,test_125,,
186,test_126,,
187,test_127,,
188,test_128,,
189,test_129,,
190,test_130,,
191,test_001,,
192,test_002,,
193,test_004,,
194,test_008,,
195,test_010,,
196,test_011,,
197,test_013,,
198,test_016,,
199,test_021,,
200,test_027,,
201,test_029,,
202,test_030,,
203,test_033,,
204,test_038,,
205,test_040,,
206,test_046,,
207,test_051,,
208,test_052,,
209,test_061,,
210,test_064,,
211,test_065,,
212,test_066,,
213,test_068,,
214,test_069,,
215,test_071,,
216,test_073,,
217,test_074,,
218,test_079,,
219,test_082,,
220,test_084,,
221,test_090,,
222,test_092,,
223,test_094,,
224,test_097,,
225,test_099,,
226,test_102,,
227,test_108,,
228,test_114,,
229,test_116,,
230,test_122,,
231,tumor_001,,
232,tumor_002,,
233,tumor_004,,
234,tumor_005,,
235,tumor_006,,
236,tumor_007,,
237,tumor_008,,
238,tumor_010,,
239,tumor_011,,
240,tumor_012,,
241,tumor_013,,
242,tumor_015,,
243,tumor_016,,
244,tumor_017,,
245,tumor_018,,
246,tumor_019,,
247,tumor_020,,
248,tumor_021,,
249,tumor_022,,
250,tumor_023,,
251,tumor_024,,
252,tumor_025,,
253,tumor_026,,
254,tumor_027,,
255,tumor_028,,
256,tumor_030,,
257,tumor_031,,
258,tumor_032,,
259,tumor_033,,
260,tumor_034,,
261,tumor_035,,
262,tumor_036,,
263,tumor_037,,
264,tumor_038,,
265,tumor_039,,
266,tumor_040,,
267,tumor_041,,
268,tumor_042,,
269,tumor_043,,
270,tumor_044,,
271,tumor_045,,
272,tumor_046,,
273,tumor_047,,
274,tumor_048,,
275,tumor_050,,
276,tumor_052,,
277,tumor_054,,
278,tumor_057,,
279,tumor_058,,
280,tumor_060,,
281,tumor_061,,
282,tumor_063,,
283,tumor_064,,
284,tumor_066,,
285,tumor_068,,
286,tumor_069,,
287,tumor_070,,
288,tumor_071,,
289,tumor_072,,
290,tumor_073,,
291,tumor_075,,
292,tumor_076,,
293,tumor_077,,
294,tumor_079,,
295,tumor_080,,
296,tumor_081,,
297,tumor_083,,
298,tumor_084,,
299,tumor_085,,
300,tumor_087,,
301,tumor_088,,
302,tumor_089,,
303,tumor_090,,
304,tumor_091,,
305,tumor_093,,
306,tumor_094,,
307,tumor_095,,
308,tumor_096,,
309,tumor_098,,
310,tumor_099,,
311,tumor_101,,
312,tumor_102,,
313,tumor_106,,
314,tumor_107,,
315,tumor_108,,
316,tumor_109,,
317,tumor_110,,
318,tumor_111,,
