,train,val,test
0,normal_001,normal_067,normal_014
1,normal_002,test_083,normal_109
2,normal_003,normal_092,normal_019
3,normal_005,normal_145,test_018
4,normal_007,test_005,normal_111
5,normal_008,normal_016,test_091
6,normal_009,normal_099,test_085
7,normal_010,normal_072,test_112
8,normal_011,normal_126,normal_085
9,normal_012,test_130,test_076
10,normal_013,normal_083,normal_045
11,normal_015,normal_006,normal_036
12,normal_017,normal_153,normal_089
13,normal_018,normal_135,normal_076
14,normal_020,normal_114,test_050
15,normal_021,test_039,normal_004
16,normal_022,test_086,test_070
17,normal_023,test_118,test_058
18,normal_024,normal_132,normal_117
19,normal_025,test_078,normal_032
20,normal_026,normal_125,normal_118
21,normal_027,normal_140,normal_078
22,normal_028,test_120,normal_157
23,normal_029,test_031,normal_069
24,normal_030,tumor_018,test_117
25,normal_031,tumor_032,tumor_010
26,normal_033,test_004,tumor_020
27,normal_034,test_016,tumor_021
28,normal_035,test_074,tumor_049
29,normal_037,tumor_110,tumor_102
30,normal_038,test_113,tumor_002
31,normal_039,test_027,test_097
32,normal_040,tumor_083,tumor_042
33,normal_041,test_029,tumor_109
34,normal_042,test_038,tumor_054
35,normal_043,test_011,tumor_028
36,normal_044,test_099,test_114
37,normal_046,tumor_004,tumor_108
38,normal_047,tumor_031,tumor_101
39,normal_048,tumor_092,tumor_038
40,normal_049,,
41,normal_050,,
42,normal_051,,
43,normal_052,,
44,normal_053,,
45,normal_054,,
46,normal_055,,
47,normal_056,,
48,normal_057,,
49,normal_058,,
50,normal_059,,
51,normal_060,,
52,normal_061,,
53,normal_062,,
54,normal_063,,
55,normal_064,,
56,normal_065,,
57,normal_066,,
58,normal_068,,
59,normal_070,,
60,normal_071,,
61,normal_073,,
62,normal_074,,
63,normal_075,,
64,normal_077,,
65,normal_079,,
66,normal_080,,
67,normal_081,,
68,normal_082,,
69,normal_084,,
70,normal_087,,
71,normal_088,,
72,normal_090,,
73,normal_091,,
74,normal_093,,
75,normal_094,,
76,normal_095,,
77,normal_096,,
78,normal_097,,
79,normal_098,,
80,normal_100,,
81,normal_101,,
82,normal_102,,
83,normal_103,,
84,normal_104,,
85,normal_105,,
86,normal_106,,
87,normal_107,,
88,normal_108,,
89,normal_110,,
90,normal_112,,
91,normal_113,,
92,normal_115,,
93,normal_116,,
94,normal_119,,
95,normal_120,,
96,normal_121,,
97,normal_122,,
98,normal_123,,
99,normal_124,,
100,normal_127,,
101,normal_128,,
102,normal_129,,
103,normal_130,,
104,normal_131,,
105,normal_133,,
106,normal_134,,
107,normal_136,,
108,normal_137,,
109,normal_138,,
110,normal_139,,
111,normal_141,,
112,normal_142,,
113,normal_143,,
114,normal_144,,
115,normal_146,,
116,normal_147,,
117,normal_148,,
118,normal_149,,
119,normal_150,,
120,normal_151,,
121,normal_152,,
122,normal_154,,
123,normal_155,,
124,normal_156,,
125,normal_158,,
126,normal_159,,
127,normal_160,,
128,test_003,,
129,test_006,,
130,test_007,,
131,test_009,,
132,test_012,,
133,test_014,,
134,test_015,,
135,test_017,,
136,test_019,,
137,test_020,,
138,test_022,,
139,test_023,,
140,test_024,,
141,test_025,,
142,test_028,,
143,test_032,,
144,test_034,,
145,test_035,,
146,test_036,,
147,test_037,,
148,test_041,,
149,test_042,,
150,test_043,,
151,test_044,,
152,test_045,,
153,test_047,,
154,test_053,,
155,test_054,,
156,test_055,,
157,test_056,,
158,test_057,,
159,test_059,,
160,test_060,,
161,test_062,,
162,test_063,,
163,test_067,,
164,test_072,,
165,test_077,,
166,test_080,,
167,test_081,,
168,test_087,,
169,test_088,,
170,test_089,,
171,test_093,,
172,test_095,,
173,test_096,,
174,test_098,,
175,test_100,,
176,test_101,,
177,test_103,,
178,test_106,,
179,test_107,,
180,test_109,,
181,test_111,,
182,test_115,,
183,test_119,,
184,test_123,,
185,test_124,,
186,test_125,,
187,test_126,,
188,test_127,,
189,test_128,,
190,test_129,,
191,test_001,,
192,test_002,,
193,test_008,,
194,test_010,,
195,test_013,,
196,test_021,,
197,test_026,,
198,test_030,,
199,test_033,,
200,test_040,,
201,test_046,,
202,test_048,,
203,test_051,,
204,test_052,,
205,test_061,,
206,test_064,,
207,test_065,,
208,test_066,,
209,test_068,,
210,test_069,,
211,test_071,,
212,test_073,,
213,test_075,,
214,test_079,,
215,test_082,,
216,test_084,,
217,test_090,,
218,test_092,,
219,test_094,,
220,test_102,,
221,test_104,,
222,test_105,,
223,test_108,,
224,test_110,,
225,test_116,,
226,test_121,,
227,test_122,,
228,tumor_001,,
229,tumor_003,,
230,tumor_005,,
231,tumor_006,,
232,tumor_007,,
233,tumor_008,,
234,tumor_009,,
235,tumor_011,,
236,tumor_012,,
237,tumor_013,,
238,tumor_014,,
239,tumor_015,,
240,tumor_016,,
241,tumor_017,,
242,tumor_019,,
243,tumor_022,,
244,tumor_023,,
245,tumor_024,,
246,tumor_025,,
247,tumor_026,,
248,tumor_027,,
249,tumor_029,,
250,tumor_030,,
