,train,val,test
0,normal_001,normal_071,normal_152
1,normal_002,test_120,test_076
2,normal_003,normal_042,test_039
3,normal_004,test_054,normal_030
4,normal_005,normal_117,normal_019
5,normal_006,normal_088,normal_084
6,normal_008,normal_072,test_018
7,normal_009,test_106,test_006
8,normal_010,test_107,normal_062
9,normal_013,normal_029,normal_111
10,normal_015,normal_119,normal_014
11,normal_016,normal_124,normal_126
12,normal_017,test_118,normal_131
13,normal_018,normal_012,normal_031
14,normal_020,test_055,normal_056
15,normal_021,normal_011,test_050
16,normal_022,test_024,normal_149
17,normal_023,test_101,normal_125
18,normal_024,normal_153,normal_007
19,normal_025,normal_099,test_034
20,normal_026,normal_085,test_032
21,normal_027,normal_138,normal_051
22,normal_028,test_095,normal_032
23,normal_033,normal_105,test_009
24,normal_034,test_074,tumor_072
25,normal_035,tumor_024,tumor_069
26,normal_036,tumor_089,tumor_102
27,normal_037,tumor_062,test_046
28,normal_038,test_021,test_079
29,normal_039,test_029,test_048
30,normal_040,tumor_034,tumor_088
31,normal_041,tumor_105,tumor_028
32,normal_043,tumor_048,tumor_038
33,normal_044,test_092,tumor_098
34,normal_045,tumor_011,tumor_021
35,normal_046,tumor_056,test_065
36,normal_047,tumor_106,test_026
37,normal_048,tumor_075,test_061
38,normal_049,test_071,tumor_003
39,normal_050,test_011,tumor_104
40,normal_052,,
41,normal_053,,
42,normal_054,,
43,normal_055,,
44,normal_057,,
45,normal_058,,
46,normal_059,,
47,normal_060,,
48,normal_061,,
49,normal_063,,
50,normal_064,,
51,normal_065,,
52,normal_066,,
53,normal_067,,
54,normal_068,,
55,normal_069,,
56,normal_070,,
57,normal_073,,
58,normal_074,,
59,normal_075,,
60,normal_076,,
61,normal_077,,
62,normal_078,,
63,normal_079,,
64,normal_080,,
65,normal_081,,
66,normal_082,,
67,normal_083,,
68,normal_087,,
69,normal_089,,
70,normal_090,,
71,normal_091,,
72,normal_092,,
73,normal_093,,
74,normal_094,,
75,normal_095,,
76,normal_096,,
77,normal_097,,
78,normal_098,,
79,normal_100,,
80,normal_101,,
81,normal_102,,
