,train,val,test
0,normal_001,normal_115,normal_143
1,normal_002,normal_157,normal_085
2,normal_003,test_083,normal_077
3,normal_004,normal_130,test_123
4,normal_005,normal_032,normal_125
5,normal_006,normal_009,test_036
6,normal_010,normal_039,test_080
7,normal_011,normal_067,normal_008
8,normal_012,normal_051,normal_152
9,normal_013,normal_066,normal_134
10,normal_016,normal_088,normal_014
11,normal_017,normal_041,normal_110
12,normal_018,normal_135,normal_043
13,normal_019,normal_156,normal_137
14,normal_021,normal_007,test_101
15,normal_022,normal_015,test_012
16,normal_023,normal_133,normal_049
17,normal_024,test_089,test_003
18,normal_025,test_062,normal_102
19,normal_026,normal_089,normal_124
20,normal_027,test_086,normal_020
21,normal_029,normal_114,normal_028
22,normal_030,normal_074,normal_128
23,normal_031,normal_047,normal_129
24,normal_033,tumor_061,test_027
25,normal_034,tumor_072,tumor_081
26,normal_035,test_001,tumor_009
27,normal_036,tumor_002,test_069
28,normal_037,test_026,tumor_019
29,normal_038,tumor_107,tumor_012
30,normal_040,tumor_021,tumor_031
31,normal_042,tumor_013,tumor_039
32,normal_044,tumor_093,tumor_020
33,normal_045,test_065,tumor_027
34,normal_046,tumor_043,tumor_022
35,normal_048,test_090,test_011
36,normal_050,tumor_099,test_075
37,normal_052,tumor_092,tumor_106
38,normal_053,test_110,tumor_025
39,normal_054,test_102,tumor_066
40,normal_055,,
41,normal_056,,
42,normal_057,,
43,normal_058,,
44,normal_059,,
45,normal_060,,
46,normal_061,,
47,normal_062,,
48,normal_063,,
49,normal_064,,
50,normal_065,,
51,normal_068,,
52,normal_069,,
53,normal_070,,
54,normal_071,,
55,normal_072,,
56,normal_073,,
57,normal_075,,
58,normal_076,,
59,normal_078,,
60,normal_079,,
61,normal_080,,
62,normal_081,,
63,normal_082,,
64,normal_083,,
65,normal_084,,
66,normal_087,,
67,normal_090,,
68,normal_091,,
69,normal_092,,
70,normal_093,,
71,normal_094,,
72,normal_095,,
73,normal_096,,
74,normal_097,,
75,normal_098,,
76,normal_099,,
77,normal_100,,
78,normal_101,,
79,normal_103,,
80,normal_104,,
81,normal_105,,
82,normal_106,,
83,normal_107,,
84,normal_108,,
85,normal_109,,
86,normal_111,,
87,normal_112,,
88,normal_113,,
89,normal_116,,
90,normal_117,,
91,normal_118,,
92,normal_119,,
93,normal_120,,
94,normal_121,,
95,normal_122,,
96,normal_123,,
97,normal_126,,
98,normal_127,,
99,normal_131,,
100,normal_132,,
101,normal_136,,
102,normal_138,,
103,normal_139,,
104,normal_140,,
105,normal_141,,
106,normal_142,,
107,normal_144,,
108,normal_145,,
109,normal_146,,
110,normal_147,,
111,normal_148,,
112,normal_149,,
113,normal_150,,
114,normal_151,,
115,normal_153,,
116,normal_154,,
117,normal_155,,
118,normal_158,,
119,normal_159,,
120,normal_160,,
121,test_005,,
122,test_006,,
123,test_007,,
124,test_009,,
125,test_014,,
126,test_015,,
127,test_017,,
128,test_018,,
129,test_019,,
130,test_020,,
131,test_022,,
132,test_023,,
133,test_024,,
134,test_025,,
135,test_028,,
136,test_031,,
137,test_032,,
138,test_034,,
139,test_035,,
140,test_037,,
141,test_039,,
142,test_041,,
143,test_042,,
144,test_043,,
145,test_044,,
146,test_045,,
147,test_047,,
148,test_050,,
149,test_053,,
150,test_054,,
151,test_055,,
152,test_056,,
153,test_057,,
154,test_058,,
155,test_059,,
156,test_060,,
157,test_063,,
158,test_067,,
159,test_070,,
160,test_072,,
161,test_076,,
162,test_077,,
163,test_078,,
164,test_081,,
165,test_085,,
166,test_087,,
167,test_088,,
168,test_091,,
169,test_093,,
170,test_095,,
171,test_096,,
172,test_098,,
173,test_100,,
174,test_103,,
175,test_106,,
176,test_107,,
177,test_109,,
178,test_111,,
179,test_112,,
180,test_115,,
