,train,val,test
0,normal_001,normal_157,normal_002
1,normal_003,test_009,normal_055
2,normal_004,normal_098,normal_091
3,normal_005,normal_017,test_093
4,normal_008,test_088,normal_099
5,normal_009,test_028,test_018
6,normal_010,normal_025,normal_079
7,normal_011,normal_122,normal_006
8,normal_012,normal_106,test_124
9,normal_013,normal_028,normal_018
10,normal_014,normal_152,normal_145
11,normal_015,normal_117,test_024
12,normal_016,normal_107,normal_119
13,normal_020,normal_124,normal_043
14,normal_021,normal_007,normal_151
15,normal_022,test_130,normal_116
16,normal_023,normal_024,normal_138
17,normal_026,normal_135,normal_019
18,normal_027,normal_080,test_080
19,normal_029,normal_144,normal_089
20,normal_030,normal_070,test_107
21,normal_031,normal_081,test_060
22,normal_032,test_003,normal_132
23,normal_033,normal_123,normal_062
24,normal_034,tumor_012,test_116
25,normal_035,tumor_086,tumor_059
26,normal_036,test_069,tumor_050
27,normal_037,test_021,test_040
28,normal_038,test_013,tumor_013
29,normal_039,tumor_109,tumor_042
30,normal_040,tumor_023,tumor_061
31,normal_041,tumor_016,test_090
32,normal_042,tumor_045,tumor_073
33,normal_044,test_084,test_046
34,normal_045,test_092,tumor_014
35,normal_046,test_008,tumor_035
36,normal_047,tumor_104,tumor_085
37,normal_048,tumor_093,tumor_037
38,normal_049,test_029,tumor_032
39,normal_050,test_065,test_102
40,normal_051,,
41,normal_052,,
42,normal_053,,
43,normal_054,,
44,normal_056,,
45,normal_057,,
46,normal_058,,
47,normal_059,,
48,normal_060,,
49,normal_061,,
50,normal_063,,
51,normal_064,,
52,normal_065,,
53,normal_066,,
54,normal_067,,
55,normal_068,,
56,normal_069,,
57,normal_071,,
58,normal_072,,
59,normal_073,,
60,normal_074,,
61,normal_075,,
62,normal_076,,
63,normal_077,,
64,normal_078,,
65,normal_082,,
66,normal_083,,
67,normal_084,,
68,normal_085,,
69,normal_087,,
70,normal_088,,
71,normal_090,,
72,normal_092,,
73,normal_093,,
74,normal_094,,
75,normal_095,,
76,normal_096,,
77,normal_097,,
78,normal_100,,
79,normal_101,,
80,normal_102,,
81,normal_103,,
82,normal_104,,
83,normal_105,,
84,normal_108,,
85,normal_109,,
86,normal_110,,
87,normal_111,,
88,normal_112,,
89,normal_113,,
90,normal_114,,
91,normal_115,,
92,normal_118,,
93,normal_120,,
94,normal_121,,
95,normal_125,,
96,normal_126,,
97,normal_127,,
98,normal_128,,
99,normal_129,,
100,normal_130,,
101,normal_131,,
102,normal_133,,
103,normal_134,,
104,normal_136,,
105,normal_137,,
106,normal_139,,
107,normal_140,,
108,normal_141,,
109,normal_142,,
110,normal_143,,
111,normal_146,,
112,normal_147,,
113,normal_148,,
114,normal_149,,
115,normal_150,,
116,normal_153,,
117,normal_154,,
118,normal_155,,
119,normal_156,,
120,normal_158,,
121,normal_159,,
122,normal_160,,
123,test_005,,
124,test_006,,
125,test_007,,
126,test_012,,
127,test_014,,
128,test_015,,
129,test_017,,
130,test_019,,
131,test_020,,
132,test_022,,
133,test_023,,
134,test_025,,
135,test_031,,
136,test_032,,
137,test_034,,
138,test_035,,
139,test_036,,
140,test_037,,
141,test_039,,
142,test_041,,
143,test_042,,
144,test_043,,
145,test_044,,
146,test_045,,
147,test_047,,
148,test_050,,
149,test_053,,
150,test_054,,
151,test_055,,
152,test_056,,
153,test_057,,
154,test_058,,
155,test_059,,
156,test_062,,
157,test_063,,
158,test_067,,
159,test_070,,
160,test_072,,
161,test_076,,
162,test_077,,
163,test_078,,
164,test_081,,
165,test_083,,
166,test_085,,
167,test_086,,
168,test_087,,
169,test_089,,
170,test_091,,
171,test_095,,
